head,relation,tail,weight,source,notes
FAN,node_type,Component,1.0,manual,engine structure node
LPC,node_type,Component,1.0,manual,engine structure node
HPC,node_type,Component,1.0,manual,engine structure node
CombustionChamber,node_type,Component,1.0,manual,engine structure node
HPT,node_type,Component,1.0,manual,engine structure node
LPT,node_type,Component,1.0,manual,engine structure node
LowPressureRotor,node_type,Component,1.0,manual,engine structure node
HighPressureRotor,node_type,Component,1.0,manual,engine structure node
BypassDuct,node_type,Component,1.0,manual,engine structure node
OverallEngine,node_type,Component,1.0,manual,engine structure node
FAN,physicConnect,LowPressureRotor,1.0,DKAMFormer,FAN/LPC/LPT are physically connected to low-pressure rotor
LPC,physicConnect,LowPressureRotor,1.0,DKAMFormer,FAN/LPC/LPT are physically connected to low-pressure rotor
LPT,physicConnect,LowPressureRotor,1.0,DKAMFormer,FAN/LPC/LPT are physically connected to low-pressure rotor
HPC,physicConnect,HighPressureRotor,1.0,DKAMFormer,HPC/HPT are physically connected to high-pressure rotor
HPT,physicConnect,HighPressureRotor,1.0,DKAMFormer,HPC/HPT are physically connected to high-pressure rotor
FAN,airFlowto,LPC,0.8,DKAMFormer,front-end airflow path
LPC,airFlowto,HPC,1.0,DKAMFormer,main airflow path
HPC,airFlowto,CombustionChamber,1.0,DKAMFormer,main airflow path
CombustionChamber,airFlowto,HPT,1.0,DKAMFormer,main airflow path
HPT,airFlowto,LPT,1.0,DKAMFormer,main airflow path
HPC,airFlowto,HPT,0.8,DKAMFormer,HPC outlet high-pressure gas can feed turbine cooling
HPC,airFlowto,LPT,0.8,DKAMFormer,HPC outlet high-pressure gas can feed turbine cooling
FAN,supports_hypothesis,Fan_related_degradation,0.85,manual,Fan component supports fan-related hypothesis
HPC,supports_hypothesis,HPC_related_degradation,0.95,manual,HPC component supports HPC-related hypothesis
LPT,supports_hypothesis,uncertain_component_degradation,0.7,manual,turbine-side evidence increases uncertainty because no turbine action exists
HPT,supports_hypothesis,uncertain_component_degradation,0.7,manual,turbine-side evidence increases uncertainty because no turbine action exists
CombustionChamber,supports_hypothesis,uncertain_component_degradation,0.4,manual,CC is explanatory only in current action taxonomy
Gfan,characterizes,FAN,1.0,DKAMFormer,FAN flow working characteristic
eta_fan,characterizes,FAN,1.0,DKAMFormer,FAN efficiency working characteristic
Glpc,characterizes,LPC,1.0,DKAMFormer,LPC flow working characteristic
eta_lpc,characterizes,LPC,1.0,DKAMFormer,LPC efficiency working characteristic
Ghpc,characterizes,HPC,1.0,DKAMFormer,HPC flow working characteristic
eta_hpc,characterizes,HPC,1.0,DKAMFormer,HPC efficiency working characteristic
sigma_CC,characterizes,CombustionChamber,1.0,DKAMFormer,combustion chamber pressure recovery coefficient
xi_CC,characterizes,CombustionChamber,1.0,DKAMFormer,combustion completion coefficient
Ghpt,characterizes,HPT,1.0,DKAMFormer,HPT flow working characteristic
eta_hpt,characterizes,HPT,1.0,DKAMFormer,HPT efficiency working characteristic
Glpt,characterizes,LPT,1.0,DKAMFormer,LPT flow working characteristic
eta_lpt,characterizes,LPT,1.0,DKAMFormer,LPT efficiency working characteristic
N1,characterizes,LowPressureRotor,1.0,DKAMFormer,low-pressure rotor speed characteristic
N2,characterizes,HighPressureRotor,1.0,DKAMFormer,high-pressure rotor speed characteristic
Gduct,characterizes,BypassDuct,1.0,DKAMFormer,bypass duct flow characteristic
